date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:02	36001/36001	---MCZ	200	added ('OK')	application/javascript	etag:W/%22039eac928b0d6d9bdb6d6a98363f7b67%22	https://www.bigfoltz.com/_next/static/chunks/998-e133d73febdd260a.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/998-e133d73febdd260a.js	(from https://www.bigfoltz.com/)
10:55:02	15266/15266	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b29aa38b3e6ca73bcf86d2cd50873cb4%22	https://www.bigfoltz.com/_next/static/chunks/app/layout-631c4cccda3243c2.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/app/layout-631c4cccda3243c2.js	(from https://www.bigfoltz.com/)
10:55:02	25931/25931	---MCZ	200	added ('OK')	image/x-icon	etag:W/%224d7f336ffe9fa91e865500fcc5744b28%22	https://www.bigfoltz.com/favicon.ico	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/favicon.ico	(from https://www.bigfoltz.com/)
10:55:03	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://www.bigfoltz.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://www.bigfoltz.com/)
10:55:03	6138/6138	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202024%2021:27:59%20GMT	https://www.bigfoltz.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Flogo.e83ece04.png&w=384&q=75	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/logo375a.png	(from https://www.bigfoltz.com/)
10:55:03	15751/15751	---MCZ	200	added ('OK')	text/html	etag:W/%225e67647391046e208aa2db8488ab1807%22	https://www.bigfoltz.com/leaderboards	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/leaderboards.html	(from https://www.bigfoltz.com/)
10:55:04	15923/15923	---MCZ	200	added ('OK')	text/html	etag:W/%22273694238809e5270fde524c7319a033%22	https://www.bigfoltz.com/bonus-hunt	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/bonus-hunt.html	(from https://www.bigfoltz.com/)
10:55:04	16554/16554	---MCZ	200	added ('OK')	text/html	etag:W/%22417493642f042c782a147215d16e11b4%22	https://www.bigfoltz.com/challenges	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/challenges.html	(from https://www.bigfoltz.com/)
10:55:04	17068/17068	---MCZ	200	added ('OK')	text/html	etag:W/%22d33b6931c68b2f724eb5434368b7a2a0%22	https://www.bigfoltz.com/raffles	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/raffles.html	(from https://www.bigfoltz.com/)
10:55:05	21774/21774	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Oct%202024%2019:32:43%20GMT	https://www.bigfoltz.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Flogo-bf.aba2c41e.png&w=1920&q=75	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/logo-bfaedb.png	(from https://www.bigfoltz.com/)
10:55:05	7021/7021	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Oct%202024%2019:32:43%20GMT	https://www.bigfoltz.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fgivenaway.129ecdbd.png&w=1920&q=75	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/givenawayb504.png	(from https://www.bigfoltz.com/)
10:55:05	11456/11456	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202024%2021:28:00%20GMT	https://www.bigfoltz.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fstake.eb763cfa.png&w=1920&q=75	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/stake0eaf.png	(from https://www.bigfoltz.com/)
